"","city","date","MaxTemp_mae","MinTemp_mae","count.x","count.y","long","lat","MaxTemp","MaxTemp_forecast","MinTemp","MinTemp_forecast","year","month"
"47","Amarillo",Mar 2015,4.78571428571429,2.68095238095238,210,210,-101.833,35.1833,65.5806451612903,63.610599078341,35.7096774193548,36.431643625192,2015,3
"48","Amarillo",Apr 2015,3.93103448275862,3.58128078817734,203,203,-101.833,35.1833,73.8333333333333,72.7912698412698,44.2666666666667,45.5619047619048,2015,4
"49","Amarillo",May 2015,4.36057692307692,3.25,208,208,-101.833,35.1833,73.741935483871,75.5664362519201,50.4516129032258,53.017089093702,2015,5
"50","Amarillo",Jun 2015,2.69377990430622,1.90909090909091,209,209,-101.833,35.1833,86.6,87.1919047619048,63.4333333333333,63.5495238095238,2015,6
"51","Amarillo",Jul 2015,2.77209302325581,2.31162790697674,215,215,-101.833,35.1833,89.7096774193548,91.2826420890937,66.6774193548387,67.5145929339478,2015,7
"52","Amarillo",Aug 2015,2.28571428571429,2.63133640552995,217,217,-101.833,35.1833,89,90.2811059907834,64.6451612903226,66.4700460829493,2015,8
"53","Amarillo",Sep 2015,4.6047619047619,2.65238095238095,210,210,-101.833,35.1833,88.1666666666667,86.1666666666667,62.0666666666667,62.2428571428571,2015,9
"54","Amarillo",Oct 2015,4.08374384236453,2.82266009852217,203,203,-101.833,35.1833,72.9354838709677,72.2321044546851,49.4193548387097,50.8502304147465,2015,10
"55","Amarillo",Nov 2015,5.95121951219512,3.95121951219512,41,41,-101.833,35.1833,64.7647058823529,60.971568627451,35,37.8656862745098,2015,11
"56","Amarillo",Dec 2015,4.39393939393939,4.57575757575758,66,66,-101.833,35.1833,57.8181818181818,56.8060606060606,30.2272727272727,30.95,2015,12
"57","Amarillo",Jan 2016,5.31410256410256,4.00961538461539,156,156,-101.833,35.1833,53.8518518518519,50.3469135802469,25,27.979012345679,2016,1
"58","Amarillo",Feb 2016,3.7797619047619,4.21428571428571,168,168,-101.833,35.1833,62.1034482758621,60.9206896551724,30.1034482758621,31.9603448275862,2016,2
"59","Amarillo",Mar 2016,2.76190476190476,4.8125,168,168,-101.833,35.1833,69.0967741935484,67.4209677419355,36.6774193548387,37.9228494623656,2016,3
"60","Amarillo",Apr 2016,4.07222222222222,3.90277777777778,180,180,-101.833,35.1833,72.3,72.5711111111111,42.7666666666667,45.1594444444444,2016,4
"61","Amarillo",May 2016,3.63978494623656,4,186,186,-101.833,35.1833,77.0967741935484,77.3279569892473,49.1612903225806,51.3924731182796,2016,5
"62","Amarillo",Jun 2016,2.69444444444444,2.49722222222222,180,180,-101.833,35.1833,91.2666666666667,90.9555555555556,63.2666666666667,64.6583333333333,2016,6
"63","Amarillo",Jul 2016,2.82795698924731,3.18010752688172,186,186,-101.833,35.1833,97.6451612903226,96.7204301075269,67.9354838709677,69.6424731182796,2016,7
"64","Amarillo",Aug 2016,2.71794871794872,2.63141025641026,156,156,-101.833,35.1833,88.1612903225806,88.8795698924731,63.9032258064516,64.6091397849462,2016,8
"65","Amarillo",Sep 2016,4.18888888888889,3.2,90,90,-101.833,35.1833,84.5333333333333,80.9133333333333,55.6666666666667,57.4611111111111,2016,9
"66","Amarillo",Oct 2016,3.56989247311828,3.85215053763441,186,186,-101.833,35.1833,81.6129032258064,79.8709677419355,49.7096774193548,50.7069892473118,2016,10
"67","Amarillo",Nov 2016,3.38505747126437,4.60344827586207,174,174,-101.833,35.1833,66.3,64.5777777777778,38.1,39.4227777777778,2016,11
"68","Amarillo",Dec 2016,5.85483870967742,6.34139784946237,186,186,-101.833,35.1833,52.5483870967742,49.6881720430108,23.5806451612903,26.4005376344086,2016,12
"69","Amarillo",Jan 2017,5.20238095238095,5.72619047619048,168,168,-101.833,35.1833,52.4516129032258,50.3645161290323,26.3870967741935,27.2241935483871,2017,1
"70","Amarillo",Feb 2017,4.23809523809524,5.68154761904762,168,168,-101.833,35.1833,64.3928571428571,63.2678571428571,31.2142857142857,34.7589285714286,2017,2
"71","Amarillo",Mar 2017,5.65,5.06388888888889,180,180,-101.833,35.1833,70.7096774193548,70.9,37.0967741935484,40.6591397849462,2017,3
"72","Amarillo",Apr 2017,3.88541666666667,3.82291666666667,96,96,-101.833,35.1833,70.7619047619048,69.4968253968254,43.8571428571429,44.584126984127,2017,4
"73","Amarillo",May 2017,2.42424242424242,4.4469696969697,132,132,-101.833,35.1833,79.5161290322581,78.3333333333333,48.8387096774194,51.9123655913979,2017,5
"74","Amarillo",Jun 2017,3.10344827586207,3.17528735632184,174,174,-101.833,35.1833,91.7666666666667,90.4888888888889,62.1,63.2511111111111,2017,6
"75","Amarillo",Jul 2017,3.00555555555556,2.34166666666667,180,180,-101.833,35.1833,94.3225806451613,92.6881720430108,65.8387096774194,67.447311827957,2017,7
"76","Amarillo",Aug 2017,2.86470588235294,2.35294117647059,170,170,-101.833,35.1833,84.6451612903226,85.0784946236559,62.5483870967742,63.2854838709677,2017,8
"77","Anchorage",Jul 2014,3.38129496402878,2.2589928057554,139,139,-149.9,61.2167,67.6666666666667,65.4791666666667,54.25,53.0717261904762,2014,7
"78","Anchorage",Aug 2014,2.7037037037037,2.85648148148148,216,216,-149.9,61.2167,65.4516129032258,64.6551459293395,53.258064516129,51.7258064516129,2014,8
"79","Anchorage",Sep 2014,2.89952153110048,3.08133971291866,209,209,-149.9,61.2167,57.3333333333333,56.6650793650794,44.3333333333333,43.9888888888889,2014,9
"80","Anchorage",Oct 2014,2.92165898617512,2.95852534562212,217,217,-149.9,61.2167,40.3870967741936,39.7557603686636,28.1935483870968,29.2672811059908,2014,10
"81","Anchorage",Nov 2014,4.62857142857143,3.88571428571429,210,210,-149.9,61.2167,34.8666666666667,33.3571428571429,24,25.2904761904762,2014,11
"82","Anchorage",Dec 2014,4.56221198156682,5.40092165898618,217,217,-149.9,61.2167,30.3548387096774,29.5898617511521,20.8387096774194,23.036866359447,2014,12
"83","Anchorage",Jan 2015,4.56521739130435,7.06211180124224,161,161,-149.9,61.2167,23,23.8195238095238,11.8666666666667,16.3604761904762,2015,1
"84","Anchorage",Feb 2015,4.01530612244898,4.87755102040816,196,196,-149.9,61.2167,29.6785714285714,27.8775510204082,17,18.3979591836735,2015,2
"85","Anchorage",Mar 2015,4.72857142857143,2.8047619047619,210,210,-149.9,61.2167,37.1935483870968,33.3986175115207,22.6129032258065,21.5437788018433,2015,3
"86","Anchorage",Apr 2015,4.53571428571429,3.16326530612245,196,196,-149.9,61.2167,48.9666666666667,45.1047619047619,33.6666666666667,31.6936507936508,2015,4
"87","Anchorage",May 2015,2.89371980676328,2.80193236714976,207,207,-149.9,61.2167,59.2903225806452,58.5481182795699,43.4838709677419,42.6223886328725,2015,5
"88","Anchorage",Jun 2015,4.04306220095694,3.00478468899522,209,209,-149.9,61.2167,67.4333333333333,65.9433333333333,53.2666666666667,50.8438095238095,2015,6
